g1,g2,cv_score,median_regret,mean_regret,num_finite,fold_1,fold_2,fold_3,fold_4,fold_5
0.1,0.0,41.68844695762749,53.28517446194687,37.52257653581971,40,70.50106415737119,3.525311681082896,27.552565801854627,66.84201448137836,40.021278666450385
0.1,0.01,41.69904507603914,53.259663808511945,37.534835584276735,40,70.53721635659792,3.5481393655933067,27.517872294054804,66.88089112434163,40.01110623960804
0.0,0.01,41.75469572258446,53.56984840704557,37.5471925421359,40,70.51236103118745,3.5093196759787926,27.891943937590156,66.8398515067944,40.02000246137148
0.01,0.01,41.754975936278804,53.56729339611175,37.54763997758821,40,70.51480451280952,3.5131458931358566,27.88608580851824,66.84173470220742,40.019108764723
0.0,0.0,41.7619755272362,53.69252866351239,37.53442623233056,40,70.47667140973887,3.486707976713747,27.993069857228935,66.82323678707697,40.03019160542247
0.01,0.0,41.76225133667832,53.69006374764204,37.534846264500075,40,70.47906903324304,3.4905132681661897,27.98731465000158,66.82506322250465,40.02929650947613
0.1,0.1,41.909540344126086,53.435652145630854,37.628573478641044,40,71.0646466147422,3.584450891058534,27.39126531367849,67.19468645903004,40.312652442121134
0.0,0.1,41.91160232148242,53.421884146343615,37.61660240547079,40,71.03641312614815,3.5433637544033214,27.52662128351565,67.16972538716274,40.28188805618226
0.01,0.1,41.91210559228611,53.419438597617344,37.62029805633456,40,71.03919182930504,3.5474099465425075,27.52063474877325,67.1721626682652,40.28112876854457
1.0,0.0,42.023696465393584,53.10719981405458,37.703197392318906,40,71.58425628635273,3.7622053401671494,26.66235163044291,67.84181441172498,40.267854658280164
1.0,0.01,42.04815711701351,53.1166708308255,37.73853486005602,40,71.62951689477067,3.7958108817901,26.65574321529144,67.86813971207,40.29157488114533
1.0,0.1,42.27558124782199,53.21135005005539,37.84835994010353,40,71.99554751168648,3.959537904546016,26.99700993416279,67.90986237625737,40.515948512457335
0.0,1.0,44.61240812798054,54.66952059688046,38.91704035327568,40,74.49185719877757,7.437694728901886,26.76788396735803,71.52915414462075,42.83545060024445
0.01,1.0,44.62127780596213,54.67194178623655,38.91783085633597,40,74.50080045468962,7.452298387143589,26.76399227195433,71.54885402256676,42.84044389345634
0.1,1.0,44.707183959785844,54.75459959696591,38.945080936582066,40,74.58343863628444,7.629546173839589,26.80377446607133,71.64596753974975,42.87319298298412
1.0,1.0,45.9307315329353,53.08889272167333,40.01956141857678,40,76.4303639793579,11.853862829430101,24.442252683437534,73.01054500969818,43.916633162752746
