g1,g2,cv_score,median_regret,mean_regret,num_finite,total_fallback_uses,trials_with_fallback,median_fallback_uses,max_fallback_uses,fold_1,fold_2,fold_3,fold_4,fold_5
0.01,0.01,5.251884258339352,7.110990983603578,5.622120706338494,40,0,0,0.0,0,5.3674269887631,0.14541069829375708,4.112553222496226,8.048382424650859,8.585647957492819
1e-05,1e-05,5.2608033962899245,7.11680197405245,5.62175923856106,40,0,0,0.0,0,5.363826103953275,0.146802341729658,4.163105549321804,8.046004256350749,8.584278730094132
0.0001,1e-05,5.260808829183575,7.116791338451499,5.621766153437912,40,0,0,0.0,0,5.363833152988982,0.14680271655469213,4.16311799403419,8.0460106102748,8.584279672065211
1e-05,0.0001,5.260821624101572,7.116760201337138,5.621786450578264,40,0,0,0.0,0,5.363850743832142,0.1467888618276616,4.163159960980879,8.046018803088957,8.584289750778224
0.0001,0.0001,5.2608270586485775,7.1167495658045805,5.621793366929019,40,0,0,0.0,0,5.363857795009467,0.14678923832407254,4.163172407618021,8.046025158586113,8.584290693705213
0.001,1e-05,5.260863181350562,7.116684980143884,5.621835322307094,40,0,0,0.0,0,5.363903673231305,0.14680648941619534,4.163242467410503,8.04607417374259,8.584289102952216
0.001,0.0001,5.2608814273532545,7.116643208180838,5.62186255054056,40,0,0,0.0,0,5.3639283366735295,0.1467930279045584,4.1632969002461095,8.046088737788942,8.584300134153132
1e-05,0.001,5.261004273872671,7.116342525483432,5.62205890960562,40,0,0,0.0,0,5.3640976202355555,0.14665441464982854,4.163704531854805,8.046164591714236,8.584400210908932
0.0001,0.001,5.261009724969657,7.11633189063609,5.622065840708557,40,0,0,0.0,0,5.364104692851482,0.1466548078805756,4.163716997756229,8.04617096295749,8.58440116340251
0.001,0.001,5.2610642592164325,7.1162255398633345,5.6221351718753905,40,0,0,0.0,0,5.364175448959301,0.14665876485767582,4.1638416830685525,8.046234699663536,8.584410699533095
0.01,1e-05,5.261409030245926,7.115621166675643,5.622529024361091,40,0,0,0.0,0,5.364611869795182,0.1468466844319174,4.164489830453006,8.046712235641388,8.584384530908137
0.01,0.0001,5.261427442048091,7.115579401541114,5.622556400353789,40,0,0,0.0,0,5.364636748035944,0.146833390641405,4.164544456219163,8.046726957459404,8.584395657884539
0.01,0.001,5.261611933562063,7.115161801629561,5.622830500601161,40,0,0,0.0,0,5.36488601057804,0.1467008068775515,4.165091170019033,8.046874498583293,8.584507181752391
1e-05,0.01,5.262868189032588,7.112170934520444,5.6248175873557384,40,0,0,0.0,0,5.366614482992001,0.14534543985222959,4.169195933516861,8.047654821308033,8.585530267493816
0.0001,0.01,5.262873807293301,7.112160306647148,5.624824667306521,40,0,0,0.0,0,5.366621772275044,0.14534600250983098,4.169208593740484,8.047661351552193,8.585531316388952
0.001,0.01,5.262930013604591,7.112054025604209,5.624895487290989,40,0,0,0.0,0,5.3666946956422965,0.14535165429354358,4.169335222691999,8.047726678693188,8.585541816701928
